"Game","Developer","Publisher","Release date","Sales","Platform","Genre","","","","","","",""
"Resident Evil: The Umbrella Chronicles","Capcom, Cavia","JP/NA/EU: Capcom,  AU: Nintendo Australia","November 13, 2007","1300000","Wii","Rail shooter","","","","","","",""
"Wii Play: Motion","Variouse","Nintendo","June 13, 2011","1260000","Wii","Minigame collection","","","","","","",""
"PokéPark Wii: Pikachu's Adventure","Creatures Inc.","Nintendo, The Pokémon Company","December 5, 2009","1250000","Wii","Action-adventure","","","","","","",""
"Rayman Raving Rabbids","Ubisoft Montpellier","Ubisoft","November 19, 2006","1200000","Wii","Party","","","","","","",""
"We Ski","Bandai Namco Games","Bandai Namco Games","January 31, 2008","1200000","Wii","Sports","","","","","","",""
"Big Beach Sports","HB Studios","THQ","June 24, 2008","1200000","Wii","Sports","","","","","","",""
"Punch-Out!!","Next Level Games","Nintendo","July 23, 2009","1140000","Wii","Sports","","","","","","",""
"Wario Land: Shake It!","Good-Feel","Nintendo","July 24, 2008","1060000","Wii","Platform","","","","","","",""
"Active Life: Outdoor Challenge","h.a.n.d.","Bandai Namco Games","May 29, 2008","1030000","Wii","Exergaming","","","","","","",""
"Call of Duty: World at War","Treyarch","Activision","November 10, 2008","1000000","Wii","First-person shooter","","","","","","",""
"Red Steel","Ubisoft Paris","Ubisoft","November 19, 2006","1000000","Wii","First-person shooter","","","","","","",""
"Rock Band","Pi Studios","MTV Games, Electronic Arts","June 22, 2008","1000000","Wii","Rhythm","","","","","","",""
"Zumba Fitness","Pipeworks Software","Majesco Entertainment, 505 Games","November 18, 2010","1000000","Wii","Fitness","","","","","","",""
"Super Mario Bros. 3f","Nintendo EAD","Nintendo","November 5, 2007","1000000","Wii","Platform","","","","","","",""
"Game Party 2","FarSight Studios","Midway Games","October 6, 2008","1000000","Wii","Party","","","","","","",""
"Mario Kart 7 ","Nintendo EAD, Retro Studios","Nintendo","December 1, 2011","18970000","Nintendo 3DS","Racing","","","","","","",""
"Pokémon X and Y","Game Freak","The Pokémon Company, Nintendo","October 12, 2013","16620000","Nintendo 3DS","Role-playing","","","","","","",""
"Pokémon Sun and Moon","Game Freak","The Pokémon Company, Nintendo","November 18, 2016","16280000","Nintendo 3DS","Role-playing","","","","","","",""
"Pokémon Omega Ruby and Alpha Sapphire","Game Freak","The Pokémon Company, Nintendo","November 21, 2014","14500000","Nintendo 3DS","Role-playing","","","","","","",""
"New Super Mario Bros. 2 ","Nintendo EAD","Nintendo","July 28, 2012","13400000","Nintendo 3DS","Platform","","","","","","",""
"Animal Crossing: New Leaf ","Nintendo EAD","Nintendo","November 8, 2012","13010000","Nintendo 3DS","Life simulation","","","","","","",""
"Super Mario 3D Land ","Nintendo EAD","Nintendo","November 3, 2011","12850000","Nintendo 3DS","Platform","","","","","","",""
"Super Smash Bros. for Nintendo 3DS","Bandai Namco Studios, Sora Ltd.","Nintendo","September 13, 2014","9630000","Nintendo 3DS","Fighting","","","","","","",""
"Pokémon Ultra Sun and Ultra Moon","Game Freak","The Pokémon Company, Nintendo","November 17, 2017","9090000","Nintendo 3DS","Role-playing","","","","","","",""
"Yo-kai Watch 2","Level-5","Nintendo","December 13, 2014","6920000","Nintendo 3DS","Role-playing","","","","","","",""
"Tomodachi Life","Nintendo SPD","Nintendo","April 18, 2013","6690000","Nintendo 3DS","Life simulation","","","","","","",""
"Luigi's Mansion: Dark Moon","Next Level Games","Nintendo","March 20, 2013","6440000","Nintendo 3DS","Action-adventure","","","","","","",""
"The Legend of Zelda: Ocarina of Time 3D","Grezzo","Nintendo","June 16, 2011","6340000","Nintendo 3DS","Action-adventure","","","","","","",""
"Nintendogs + Cats","Nintendo EAD","Nintendo","February 26, 2011","4670000","Nintendo 3DS","Pet-raising simulation","","","","","","",""
"Monster Hunter Generations","Capcom","Capcom","November 28, 2015","4300000","Nintendo 3DS","Action role-playing","","","","","","",""
"The Legend of Zelda: A Link Between Worlds","Capcom","Capcom","November 22, 2013","4210000","Nintendo 3DS","Action-adventure","","","","","","",""
"Monster Hunter 4 Ultimate","Nintendo EAD","Nintendo","February 13, 2015","4200000","Nintendo 3DS","Action role-playing","","","","","","",""
"Monster Hunter 4","Capcom","Capcom","September 14, 2013","4100000","Nintendo 3DS","Action role-playing","","","","","","",""
"Super Mario Maker for Nintendo 3DS","Nintendo EAD","Nintendo","December 1, 2016","3760000","Nintendo 3DS","Level editor, platform","","","","","","",""
"Animal Crossing: Happy Home Designer","Nintendo EAD","Nintendo","July 2, 2015","3510000","Nintendo 3DS","Life simulation","","","","","","",""
"The Legend of Zelda: Majora's Mask 3D","Grezzo","Nintendo","February 13, 2015","3360000","Nintendo 3DS","Action-adventure","","","","","","",""
"Fire Emblem Fates: Birthright and Conquest","Intelligent Systems, Nintendo SPD","Nintendo","June 25, 2015","3030000","Nintendo 3DS","Tactical role-playing","","","","","","",""
"Mario Party: Island Tour","NDcube","Nintendo","November 22, 2013","2930000","Nintendo 3DS","Party","","","","","","",""
"Donkey Kong Country Returns 3D","Retro Studios, Monster Games","Nintendo","May 24, 2013","2910000","Nintendo 3DS","Platform","","","","","","",""
"Yo-kai Watch","Level-5","Nintendo","July 11, 2013","2780000","Nintendo 3DS","Role-playing","","","","","","",""
"Mario & Luigi: Dream Team","AlphaDream, Good-Feel","Nintendo","July 12, 2013","2670000","Nintendo 3DS","Role-playing","","","","","","",""
"Kirby: Triple Deluxe","HAL Laboratory","Nintendo","January 11, 2014","2630000","Nintendo 3DS","Action, platform","","","","","","",""
"Monster Hunter 3 Ultimate","Capcom","Capcom","December 10, 2011","2600000","Nintendo 3DS","Action role-playing","","","","","","",""
"Paper Mario: Sticker Star","Intelligent Systems","Nintendo","November 11, 2012","2480000","Nintendo 3DS","Role-playing","","","","","","",""
"Fire Emblem Awakening","Intelligent Systems, Nintendo SPD","Nintendo","April 19, 2012","2330000","Nintendo 3DS","Tactical role-playing","","","","","","",""
"Yo-kai Watch Blasters: Red Cat Corps and White Dog Squad","Level-5","Nintendo","July 11, 2015","2200000","Nintendo 3DS","Role-playing","","","","","","",""
"Yoshi's New Island","Arzest","Nintendo","March 14, 2014","2040000","Nintendo 3DS","Platform","","","","","","",""
"Lego City Undercover: The Chase Begins","TT Fusion","Nintendo","April 21, 2013","2040000","Nintendo 3DS","Action-adventure","","","","","","",""
"Monster Hunter XX","Capcom","Capcom","March 18, 2017","1800000","Nintendo 3DS","Action role-playing","","","","","","",""
"Dragon Quest XI: Echoes of an Elusive Age","Square Enix","Square Enix","July 29, 2017","1740000","Nintendo 3DS","Role-playing","","","","","","",""
"Pokémon Super Mystery Dungeon","Spike Chunsoft","The Pokémon Company, Nintendo","September 17, 2015","1660000","Nintendo 3DS","Roguelike","","","","","","",""
"Kirby: Planet Robobot","HAL Laboratory","Nintendo","April 28, 2016","1600000","Nintendo 3DS","Action, platform","","","","","","",""
"Mario Tennis Open","Camelot Software Planning","Nintendo","May 20, 2012","1570000","Nintendo 3DS","Sports","","","","","","",""
"Puzzle & Dragons Z: Pazudora Z","GungHo Online Entertainment","GungHo Online Entertainment","December 12, 2013","1500000","Nintendo 3DS","Puzzle","","","","","","",""
"Pokémon Red / Green / Blue / Yellowd","Game Freak","Nintendo","February 27, 2016","1500000","Nintendo 3DS","Role-playing","","","","","","",""
"Style Savvy: Trendsetters","Syn Sophia","Nintendo","September 27, 2012","1440000","Nintendo 3DS","Simulation","","","","","","",""
"Pokémon Rumble Blast","Ambrella","The Pokémon Company, Nintendo","August 11, 2011","1400000","Nintendo 3DS","Action role-playing, beat 'em up","","","","","","",""
"Pokémon Mystery Dungeon: Gates to Infinity","Spike Chunsoft","The Pokémon Company, Nintendo","November 23, 2012","1380000","Nintendo 3DS","Roguelike","","","","","","",""
"Kid Icarus: Uprising","Nintendo EPD, Grezzo","Nintendo","March 22, 2012","1360000","Nintendo 3DS","Third-person shooter, shoot 'em up","","","","","","",""
"The Legend of Zelda: Tri Force Heroes","Project Sora, Sora Ltd.","Nintendo","October 22, 2015","1360000","Nintendo 3DS","Action-adventure","","","","","","",""
"Super Street Fighter IV: 3D Edition","Level-5","Level-5","February 26, 2011","1300000","Nintendo 3DS","Fighting","","","","","","",""
"Yo-kai Watch 3: Sushi and Tempura","Dimps, Capcom","Capcom","July 16, 2016","1300000","Nintendo 3DS","Role-playing","","","","","","",""
"Dragon Quest VII: Fragments of the Forgotten Past","Heartbeat, ArtePiazza","JP: Square Enix, WW: Nintendo","February 7, 2013","1230000","Nintendo 3DS","Role-playing","","","","","","",""
"Miitopia","Nintendo EPD","Nintendo","December 8, 2016","1210000","Nintendo 3DS","Role-playing","","","","","","",""
"Mario & Luigi: Paper Jam","AlphaDream","Nintendo","December 3, 2015","1070000","Nintendo 3DS","Role-playing","","","","","","",""
"Star Fox 64 3D","Nintendo EAD, Q-Games","Nintendo","July 14, 2011","1050000","Nintendo 3DS","Rail shooter","","","","","","",""
"Professor Layton and the Miracle Mask","Level-5","JP: Level-5, WW: Nintendo","February 26, 2011","1020000","Nintendo 3DS","Puzzle, adventure","","","","","","",""
"Rhythm Heaven Megamix","Nintendo SPD","Nintendo","June 11, 2015","1010000","Nintendo 3DS","Rhythm","","","","","","",""
"Bravely Default","Mixi","Xflag","October 11, 2012","1000000","Nintendo 3DS","Role-playing","","","","","","",""
"Fantasy Life","Square Enix","Square Enix","December 27, 2012","1000000","Nintendo 3DS","Role-playing","","","","","","",""
"Monster Strike","Level-5","JP: Level-5, WW: Nintendo","December 17, 2015","1000000","Nintendo 3DS","Role-playing","","","","","","",""
"Kingdom Hearts 3D: Dream Drop Distance","Silicon Studio","Nintendo","March 29, 2012","1000000","Nintendo 3DS","Action role-playing","","","","","","",""
"Mario Kart 8 Deluxe","Nintendo EPD","Nintendo","April 28, 2017","45330000","Nintendo Switch","Kart racing","","","","","","",""
"Animal Crossing: New Horizons","Nintendo EPD","Nintendo","March 20, 2020","38640000","Nintendo Switch","Social simulation","","","","","","",""
"Super Smash Bros. Ultimate","Bandai Namco Studios, Sora Ltd.","Nintendo","December 7, 2018","28170000","Nintendo Switch","Fighting","","","","","","",""
"The Legend of Zelda: Breath of the Wild","Nintendo EPD","Nintendo","March 3, 2017","26550000","Nintendo Switch","Action-adventure","","","","","","",""
"Pokémon Sword and Shield","Game Freak","The Pokémon Company,Nintendo","November 15, 2019","24270000","Nintendo Switch","Role-playing","","","","","","",""
"Super Mario Odyssey","Nintendo EPD","Nintendo","October 27, 2017","23500000","Nintendo Switch","Platformer","","","","","","",""
"Super Mario Party","NDcube","Nintendo","October 5, 2018","17780000","Nintendo Switch","Party","","","","","","",""
"Pokémon Brilliant Diamond and Shining Pearl","ILCA","The Pokémon Company, Nintendo","November 19, 2021","14650000","Nintendo Switch","Role-playing","","","","","","",""
"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!","Game Freak","The Pokémon Company, Nintendo","November 16, 2018","14530000","Nintendo Switch","Role-playing","","","","","","",""
"Ring Fit Adventure","Nintendo EPD","Nintendo","October 18, 2019","14090000","Nintendo Switch","Exergame, role-playing","","","","","","",""
"New Super Mario Bros. U Deluxe","Nintendo EPD","Nintendo","January 11, 2019","13310000","Nintendo Switch","Platformer","","","","","","",""
"Splatoon 2","Nintendo EPD","Nintendo","July 21, 2017","13300000","Nintendo Switch","Third-person shooter","","","","","","",""
"Pokémon Legends: Arceus","Game Freak","The Pokémon Company, Nintendo","January 28, 2022","12640000","Nintendo Switch","Action role-playing","","","","","","",""
"Luigi's Mansion 3","Next Level Games","Nintendo","October 31, 2019","11430000","Nintendo Switch","Action-adventure","","","","","","",""
"Super Mario 3D World + Bowser's Fury","Nintendo EPD","Nintendo","February 12, 2021","9430000","Nintendo Switch","Platformer","","","","","","",""
"Super Mario 3D All-Stars","Nintendo","Nintendo","September 18, 2020","9010000","Nintendo Switch","Platformer, compilation","","","","","","",""
"Monster Hunter Rise","Capcom","Capcom","March 26, 2021","7700000","Nintendo Switch","Action role-playing","","","","","","",""
"Super Mario Maker 2","Nintendo EPD","Nintendo","June 28, 2019","7150000","Nintendo Switch","Platformer, Level editor","","","","","","",""
"Mario Party Superstars","NDcube","Nintendo","October 29, 2021","6880000","Nintendo Switch","Party","","","","","","",""
"The Legend of Zelda: Link's Awakening","Grezzo","Nintendo","September 20, 2019","5490000","Nintendo Switch","Action-adventure","","","","","","",""
"Clubhouse Games: 51 Worldwide Classics","NDcube","Nintendo","June 5, 2020","4220000","Nintendo Switch","Tabletop game","","","","","","",""
"Hyrule Warriors: Age of Calamity","Omega Force","JP: Koei Tecmo, NA/PAL: Nintendo","November 20, 2020","4000000","Nintendo Switch","Hack and slash","","","","","","",""
"The Legend of Zelda: Skyward Sword HD","Tantalus Media","Nintendo","July 16, 2021","3910000","Nintendo Switch","Action-adventure","","","","","","",""
"Mario Tennis Aces","Camelot Software Planning","Nintendo","June 22, 2018","3660000","Nintendo Switch","Sports","","","","","","",""
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!","Konami","JP: Konami","November 19, 2020","3500000","Nintendo Switch","Board game","","","","","","",""
"1-2-Switch","Nintendo EPD","Nintendo","March 3, 2017","3450000","Nintendo Switch","Party","","","","","","",""
"Kirby Star Allies","HAL Laboratory","Nintendo","March 16, 2018","3420000","Nintendo Switch","Platformer","","","","","","",""
"Donkey Kong Country: Tropical Freeze","Retro Studios","Nintendo","May 4, 2018","3420000","Nintendo Switch","Platformer","","","","","","",""
"Fire Emblem: Three Houses","Intelligent Systems, Koei Tecmo","Nintendo","July 26, 2019","3400000","Nintendo Switch","Tactical role-playing","","","","","","",""
"Among Us","Innersloth","Innersloth","December 15, 2020","3200000","Nintendo Switch","Party, social deduction","","","","","","",""
"Minecraft","Mojang","JP: Xbox Game Studios, NA/PAL: Mojang","May 11, 2017","3140000","Nintendo Switch","Sandbox, survival","","","","","","",""
"Paper Mario: The Origami King","Intelligent Systems","Nintendo","July 17, 2020","3120000","Nintendo Switch","Role-playing, action-adventure","","","","","","",""
"Metroid Dread","MercurySteam, Nintendo EPD","Nintendo","October 8, 2021","2900000","Nintendo Switch","Action-adventure","","","","","","",""
"New Pokémon Snap","Bandai Namco Studios","JP: The Pokémon Company, NA/PAL: Nintendo","April 30, 2021","2740000","Nintendo Switch","Photography","","","","","","",""
"Kirby and the Forgotten Land","HAL Laboratory","Nintendo","March 25, 2022","2650000","Nintendo Switch","Platformer","","","","","","",""
"Yoshi's Crafted World","Good-Feel","Nintendo","March 29, 2019","2560000","Nintendo Switch","Platformer","","","","","","",""
"Arms","Nintendo EPD","Nintendo","June 16, 2017","2560000","Nintendo Switch","Fighting","","","","","","",""
"Mario Golf: Super Rush","Camelot Software Planning","Nintendo","June 25, 2021","2350000","Nintendo Switch","Sports","","","","","","",""
"Xenoblade Chronicles 2","Monolith Soft","Nintendo","December 1, 2017","2170000","Nintendo Switch","Action role-playing","","","","","","",""
"Octopath Traveler","Square Enix, Acquire","JP: Square Enix, NA/PAL: Nintendo","July 13, 2018","2080000","Nintendo Switch","Role-playing","","","","","","",""
"Pikmin 3 Deluxe","Nintendo EPD, Eighting","Nintendo","October 30, 2020","2040000","Nintendo Switch","Real-time strategy, puzzle","","","","","","",""
"Mario + Rabbids Kingdom Battle","Ubisoft Paris, Ubisoft Milan","NA/PAL: Ubisoft JP/KOR: Nintendo20","August 29, 2017","2000000","Nintendo Switch","Tactical role-playing","","","","","","",""
"Captain Toad: Treasure Tracker","Nintendo EPD","Nintendo","July 13, 2018","1770000","Nintendo Switch","Action puzzle","","","","","","",""
"Miitopia","Grezzo","Nintendo","May 21, 2021","1680000","Nintendo Switch","Role-playing","","","","","","",""
"Pokémon Mystery Dungeon: Rescue Team DX","Spike Chunsoft","Nintendo","March 6, 2020","1600000","Nintendo Switch","Roguelike","","","","","","",""
"Big Brain Academy: Brain vs. Brain","Nintendo EPD","Nintendo","December 3, 2021","1590000","Nintendo Switch","Puzzle","","","","","","",""
"Xenoblade Chronicles: Definitive Edition","Monolith Soft","Nintendo","May 29, 2020","1520000","Nintendo Switch","Action role-playing","","","","","","",""
"Pokkén Tournament DX","Bandai Namco Studios","JP: The Pokémon Compan, NA/PAL: Nintendoy","September 22, 2017","1510000","Nintendo Switch","Fighting","","","","","","",""
"Nintendo Labo Toy-Con 01: Variety Kit","Nintendo EPD","Nintendo","April 20, 2018","1420000","Nintendo Switch","Construction kit","","","","","","",""
"Dragon Ball FighterZ","Arc System Works","Bandai Namco Entertainment","September 27, 2018","1380000","Nintendo Switch","Fighting","","","","","","",""
"Taiko no Tatsujin: Drum 'n' Fun!","Bandai Namco Studios","Bandai Namco Entertainment","July 19, 2018","1340000","Nintendo Switch","Rhythm","","","","","","",""
"Marvel Ultimate Alliance 3: The Black Order","Team Ninja","Nintendo","July 19, 2019","1310000","Nintendo Switch","Action role-playing","","","","","","",""
"Mario Kart Live: Home Circuit","Velan Studios","Nintendo","October 16, 2020","1270000","Nintendo Switch","Kart racing, augmented reality","","","","","","",""
"WarioWare: Get It Together!","Nintendo EPD, Intelligent Systems","Nintendo","September 10, 2021","1270000","Nintendo Switch","Party","","","","","","",""
"Dragon Ball Xenoverse 2","Dimps","Bandai Namco Entertainment","September 7, 2017","1270000","Nintendo Switch","Fighting","","","","","","",""
"Astral Chain","PlatinumGames","Nintendo","August 30, 2019","1210000","Nintendo Switch","Action-adventure","","","","","","",""
"Resident Evil Revelations Collection","Capcom","Capcom","November 27, 2017","1100000","Nintendo Switch","Survival horror","","","","","","",""
"Game Builder Garage","Nintendo EPD","Nintendo","June 11, 2021","1060000","Nintendo Switch","Programming","","","","","","",""
"Dr Kawashima's Brain Training for Nintendo Switch","Nintendo EPD, indieszero","Nintendo","December 27, 2019","1050000","Nintendo Switch","Puzzle","","","","","","",""
"Enter the Gungeon","Dodge Roll","Devolver Digital","December 14, 2017","1000000","Nintendo Switch","Bullet hell","","","","","","",""
"Fitness Boxing","Imagineer","JP: Imagineer, NA/PAL: Nintendo","December 20, 2018","1000000","Nintendo Switch","Exergame, rhythm","","","","","","",""
"Fitness Boxing 2: Rhythm and Exercise","Imagineer","JP: Imagineer, NA/PAL: Nintendo","December 4, 2020","1000000","Nintendo Switch","Exergame, rhythm","","","","","","",""
"Shin Megami Tensei V","Atlus","JP: Atlus, NA: Sega, PAL: Nintendo","November 11, 2021","1000000","Nintendo Switch","Role-playing","","","","","","",""
"Story of Seasons: Pioneers of Olive Town","Marvelous","Xseed Games","February 25, 2021","1000000","Nintendo Switch","Simulation, role-playing","","","","","","",""
"Thief Simulator","Noble Muffins","Forever Entertainment","May 19, 2019","1000000","Nintendo Switch","Stealth","","","","","","",""
